Depth,Floating Long Eccentricity, Anchoring to D.b.ash,Anchoring to D.e. ash,Anchoring to C.v. ash,Anchoring to S.d. ash,Anchoring to S.p. ash (nominal age model)
2086.162755,1944.84626438984,84460.7684417808,84362.7793777196,84222.5746073319,84480.7602755137,84402.2583039228
2086.193234,1947.66452808847,84463.5867054795,84365.5976414182,84225.3928710305,84483.5785392123,84405.0765676214
2086.223712,1950.48269932136,84466.4048767123,84368.4158126511,84228.2110422634,84486.3967104452,84407.8947388543
2086.254191,1953.30096301999,84469.223140411,84371.2340763497,84231.029305962,84489.2149741438,84410.713002553
2086.284669,1956.11913425288,84472.0413116439,84374.0522475826,84233.8474771949,84492.0331453767,84413.5311737858
2086.315148,1958.93739795151,84474.8595753425,84376.8705112812,84236.6657408935,84494.8514090754,84416.3494374845
2086.345626,1961.75556918436,84477.6777465753,84379.6886825141,84239.4839121264,84497.6695803082,84419.1676087173
2086.376105,1964.57383288299,84480.496010274,84382.5069462127,84242.302175825,84500.4878440069,84421.985872416
2086.406583,1967.39200411588,84483.3141815069,84385.3251174456,84245.1203470579,84503.3060152397,84424.8040436489
2086.437062,1970.21026781451,84486.1324452055,84388.1433811442,84247.9386107565,84506.1242789384,84427.6223073475
2086.46754,1973.02629843499,84488.948475826,84390.9594117647,84250.754641377,84508.9403095588,84430.4383379679
2086.498019,1975.7156219644,84491.6377993554,84393.6487352941,84253.4439649064,84511.6296330883,84433.1276614974
2086.528497,1978.40485725849,84494.3270346495,84396.3379705882,84256.1332002005,84514.3188683824,84435.8168967915
2086.558976,1981.09418078791,84497.0163581789,84399.0272941176,84258.8225237299,84517.0081919118,84438.5062203209
2086.589454,1983.78341608204,84499.705593473,84401.7165294118,84261.5117590241,84519.6974272059,84441.195455615
2086.619933,1986.47273961145,84502.3949170024,84404.4058529412,84264.2010825535,84522.3867507353,84443.8847791444
2086.650411,1989.16197490558,84505.0841522965,84407.0950882353,84266.8903178476,84525.0759860294,84446.5740144385
2086.68089,1991.85129843499,84507.773475826,84409.7844117647,84269.579641377,84527.7653095588,84449.2633379679
2086.711368,1994.54053372912,84510.4627111201,84412.4736470589,84272.2688766711,84530.454544853,84451.9525732621
2086.741847,1997.22985725849,84513.1520346495,84415.1629705882,84274.9582002005,84533.1438683824,84454.6418967915
2086.772326,1999.9191807879,84515.8413581789,84417.8522941176,84277.6475237299,84535.8331919118,84457.3312203209
2086.802804,2002.60841608203,84518.530593473,84420.5415294118,84280.3367590241,84538.5224272059,84460.020455615
2086.833283,2005.29773961145,84521.2199170024,84423.2308529412,84283.0260825535,84541.2117507353,84462.7097791444
2086.863761,2007.98697490558,84523.9091522965,84425.9200882353,84285.7153178476,84543.9009860294,84465.3990144385
2086.89424,2010.67629843499,84526.598475826,84428.6094117647,84288.404641377,84546.5903095588,84468.088337968
2086.924718,2013.36553372912,84529.2877111201,84431.2986470589,84291.0938766711,84549.279544853,84470.7775732621
2086.955197,2016.05485725853,84531.9770346495,84433.9879705883,84293.7832002005,84551.9688683824,84473.4668967915
2086.985675,2018.74409255262,84534.6662699436,84436.6772058824,84296.4724354946,84554.6581036765,84476.1561320856
2087.016154,2021.43341608203,84537.355593473,84439.3665294118,84299.161759024,84557.3474272059,84478.845455615
2087.046632,2024.12265137616,84540.0448287671,84442.0557647059,84301.8509943182,84560.0366625,84481.5346909091
2087.077111,2026.81197490557,84542.7341522965,84444.7450882353,84304.5403178476,84562.7259860294,84484.2240144385
2087.107589,2029.5012101997,84545.4233875907,84447.4343235294,84307.2295531417,84565.4152213236,84486.9132497327
2087.138068,2032.19053372912,84548.1127111201,84450.1236470588,84309.9188766711,84568.104544853,84489.6025732621
2087.168546,2034.87976902321,84550.8019464142,84452.8128823529,84312.6081119652,84570.7937801471,84492.2918085562
2087.199025,2037.56909255262,84553.4912699436,84455.5022058824,84315.2974354946,84573.4831036765,84494.9811320856
2087.229503,2040.25832784675,84556.1805052377,84458.1914411765,84317.9866707888,84576.1723389706,84497.6703673797
2087.259982,2042.94765137616,84558.8698287671,84460.8807647059,84320.6759943182,84578.8616625,84500.3596909091
2087.29046,2045.63688667029,84561.5590640613,84463.57,84323.3652296123,84581.5508977941,84503.0489262032
2087.320939,2048.3262101997,84564.2483875907,84466.2593235294,84326.0545531417,84584.2402213236,84505.7382497327
2087.351417,2051.01544549379,84566.9376228848,84468.9485588235,84328.7437884358,84586.9294566177,84508.4274850268
2087.381896,2053.7047690232,84569.6269464142,84471.6378823529,84331.4331119652,84589.6187801471,84511.1168085562
2087.412374,2056.39400431733,84572.3161817083,84474.3271176471,84334.1223472594,84592.3080154412,84513.8060438503
2087.442853,2059.08332784675,84575.0055052377,84477.0164411765,84336.8116707888,84594.9973389706,84516.4953673797
2087.473331,2061.77256314087,84577.6947405318,84479.7056764706,84339.5009060829,84597.6865742647,84519.1846026738
2087.50381,2064.46188667029,84580.3840640613,84482.395,84342.1902296123,84600.3758977941,84521.8739262032
2087.534288,2067.15112196438,84583.0732993554,84485.0842352941,84344.8794649064,84603.0651330882,84524.5631614973
2087.564767,2069.84044549379,84585.7626228848,84487.7735588235,84347.5687884358,84605.7544566177,84527.2524850268
2087.595245,2072.52968078792,84588.4518581789,84490.4627941176,84350.2580237299,84608.4436919118,84529.9417203209
2087.625724,2075.21900431733,84591.1411817083,84493.1521176471,84352.9473472594,84611.1330154412,84532.6310438503
2087.656202,2077.90823961146,84593.8304170024,84495.8413529412,84355.6365825535,84613.8222507353,84535.3202791444
2087.686681,2080.59756314087,84596.5197405318,84498.5306764706,84358.3259060829,84616.5115742647,84538.0096026738
2087.717159,2083.28679843496,84599.2089758259,84501.2199117647,84361.015141377,84619.2008095588,84540.6988379679
2087.747638,2085.97612196438,84601.8982993554,84503.9092352941,84363.7044649064,84621.8901330882,84543.3881614973
2087.778116,2088.6653572585,84604.5875346495,84506.5984705882,84366.3937002005,84624.5793683824,84546.0773967915
