"Composite depth","Magnetic susceptibility (MS)",,"Composite depth","Total reflectance (L*)"
"(m)","(SI)",,"(mm)","(%)"
184.23,10.5,,184.23,58.56
184.28,9.08,,184.28,59.96
184.32,8.5,,184.32,58.78
184.37,5.03,,184.37,55.16
184.48,4.68,,184.48,60.27
184.56,5.32,,184.56,59.82
184.65,7.22,,184.65,56.18
184.78,11.02,,184.78,62.28
184.84,7.65,,184.84,58.91
184.9,10.32,,184.9,58.5
185.02,6.77,,185.02,58.94
185.07,6.68,,185.07,59.98
185.12,6,,185.12,59.84
185.18,2.5,,185.18,55.45
