proxy,site,sol,date,roll,window,RMSD,depth,age_floating,age_slider,kpg_age,age,value,long_ecc_filter,short_ecc_filter,comb_ecc_filter,ecc_sln
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.263922453703714,1499.2339843750003,-16.8,65900,67382.43398437499,1.0457836458934637,-0.18559456437457794,0.19499342907392625,0.23498698732670065,0.526713638104615
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.355181712962974,1502.0339843750003,-16.8,65900,67385.233984375,1.410574988629642,-0.1784236799949484,0.1547248173547753,0.3362116211429006,0.3630691141993088
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.446440972222234,1504.8339843750002,-16.8,65900,67388.033984375,1.1935449430782836,-0.17092234321993255,0.10911903035506403,0.4543921867263696,0.19049039917085236
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.53770023148149,1507.6339843750002,-16.8,65900,67390.833984375,0.14970589399412754,-0.16310251133788048,0.05925664238872501,0.5857820406391725,0.015232592818451235
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.62895949074075,1510.4339843750001,-16.8,65900,67393.633984375,-0.4762221971403281,-0.15497681288101992,0.006371766508001416,0.7260963111462679,-0.16265025996775656
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.72021875000001,1513.2339843750003,-16.8,65900,67396.43398437499,-0.06911547487904926,-0.146558526372959,-0.04817870007961886,0.8706203543691575,-0.3343580606955204
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.81147800925927,1516.0339843750003,-16.8,65900,67399.233984375,0.951310390072495,-0.1378615576419376,-0.1029506269575363,1.014335135566946,-0.5003156827716131
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.90273726851853,1518.8339843750002,-16.8,65900,67402.033984375,0.937831815196101,-0.12890041574163386,-0.15645205613982205,1.1520562112674568,-0.6457129538626576
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.99399652777779,1521.6339843750002,-16.8,65900,67404.833984375,0.308622416987225,-0.11969018752455468,-0.20718536431564474,1.2785824357580444,-0.7660778585663648
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.08525578703704,1524.4339843750001,-16.8,65900,67407.633984375,-0.05744554557692276,-0.11024651091617067,-0.2536909583441705,1.3888500732213067,-0.8392024219986509
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.17651504629631,1527.2339843750003,-16.8,65900,67410.43398437499,-0.06312506093992981,-0.10058554694098182,-0.294591191717096,1.4780876828600427,-0.8602334872595657
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.26777430555557,1530.0339843750003,-16.8,65900,67413.233984375,0.33753517819865236,-0.09072395055462328,-0.3286331411894059,1.5419669730871928,-0.8191113914564474
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.35903356481482,1532.8339843750002,-16.8,65900,67416.033984375,-0.6913470997868784,-0.08067884033892125,-0.35472887747245413,1.5767448021382082,-0.7286141367547909
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.45029282407408,1535.6339843750002,-16.8,65900,67418.833984375,0.09414496202102451,-0.07046776711949002,-0.37199190317848885,1.5793916412076539,-0.5947156309817128
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.541552083333336,1538.4339843750001,-16.8,65900,67421.633984375,0.0988502006759171,-0.06010868156801112,-0.3797685150049003,1.5477021120751056,-0.43682747737386934
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.63281134259261,1541.2339843750003,-16.8,65900,67424.43398437499,-0.6803923921754351,-0.049619900853751286,-0.37766297383243363,1.4803836584575372,-0.26663955473208617
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.724070601851864,1544.0339843750003,-16.8,65900,67427.233984375,-1.3446180600806537,-0.039020074411148346,-0.3655555328689115,1.3771199980074194,-0.09247834573961423
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.81532986111112,1546.8339843750002,-16.8,65900,67430.033984375,-1.2382723784744665,-0.02832814889242212,-0.3436125756597046,1.238606713943133,0.0737373547349282
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.90658912037038,1549.6339843750002,-16.8,65900,67432.833984375,-0.4412762980551511,-0.017563332376138586,-0.31228834687258517,1.0665571611483147,0.22662056680408454
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,57.99784837962964,1552.4339843750001,-16.8,65900,67435.633984375,-0.23968421725296513,-0.006745057904475871,-0.27231801228889246,0.863677756641815,0.36269032092280934
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.089107638888905,1555.2339843750003,-16.8,65900,67438.43398437499,-0.5256609632702403,0.004107053576405471,-0.2247020525301621,0.633612670832995,0.47418685596094007
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.18036689814816,1558.0339843750003,-16.8,65900,67441.233984375,-1.0519983794646128,0.014973230796994533,-0.1706822691999073,0.3808589038601591,0.5635598250008526
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.27162615740742,1560.8339843750002,-16.8,65900,67444.033984375,-0.4182020244562876,0.025833590188849388,-0.11170995342913123,0.11065368915971316,0.6272672653862466
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.36288541666667,1563.6339843750002,-16.8,65900,67446.833984375,0.27180637964730053,0.03666817427444034,-0.04940702630737784,-0.17116291745213638,0.6625816485493057
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.45414467592593,1566.4339843750001,-16.8,65900,67449.633984375,0.8139156809934697,0.04745699034307742,0.014478800390204268,-0.4583065613722351,0.6698918253139863
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.5454039351852,1569.2339843750003,-16.8,65900,67452.43398437499,0.07220195903180626,0.05818004933278782,0.07812358462810677,-0.744223781767596,0.6480672789001343
