depth,magsus,reflec,d13C_VPDB,comment
4757.573,12.6,52.6384,NA,NA
4769.24,13,46.358,1.0103504900681344,NA
4780.906,11.3,51.191075,NA,NA
4787,14.9,47.264875,NA,NA
4797,14.1,49.9526,1.5441413684579821,NA
4807,21,45.65315,NA,NA
4817,16.3,44.372425,NA,NA
4827.333,13.6,48.11445,NA,NA
4838,13.9,46.814225,1.629228800000007,NA
4848.667,11.7,45.3322,NA,NA
4858.625,14.8,45.5821,NA,NA
4867.875,18,46.672,1.4962593000000055,NA
4877.125,15.3,49.0406,NA,NA
4886.375,14.5,49.678,NA,NA
4897,11.8,48.078225,NA,NA
4909,8.1,52.50255,1.4571216000000007,NA
4921,11.8,50.1163,NA,NA
4932.5,16.1,46.6533,NA,NA
4943.5,18.2,47.2299,NA,NA
4954.5,17.2,46.57835,1.3659391999999997,NA
4965.5,13.5,44.641,NA,NA
4976.5,19.5,46.906,NA,NA
4986.167,16.2,51.77685,NA,NA
4994.5,11.4,52.5596,1.7289008000000052,NA
5002.833,15.2,45.2467,NA,NA
5011.125,13.5,48.3399,NA,NA
5019.375,18.3,48.6141,1.5346072054512447,NA
5027.625,14,46.31735,NA,NA
5035.875,15.6,51.17985,NA,NA
5044.333,14.6,47.06285,NA,NA
5053,12.9,50.9154,1.455036800000002,NA
5061.667,14.4,50.36245,NA,NA
5070.375,12.3,50.15325,NA,NA
5079.125,17,46.2036,1.3865392986753484,NA
5087.875,14.4,42.6927,NA,NA
5096.625,13.9,50.2802,NA,NA
5109.333,18.9,48.4832,NA,NA
5126,15.1,49.8007,1.6585253064581202,NA
5142.667,12.8,47.1734,NA,NA
5155.833,16,50.618,NA,NA
5165.5,15.8,48.7797,NA,NA
5175.167,12.4,45.2769,NA,NA
5199.5,16.8,47.12585,1.1100573000000011,NA
5218.5,12.6,47.33525,NA,NA
5237.5,17.9,47.941925,NA,NA
5254.5,16.1,47.3248,1.3966336000000013,NA
5269.5,16.5,43.34935,NA,NA
5282.5,16,44.563425,NA,NA
5293.5,20.6,42.361,NA,NA
